acceptanceDatetime,filing,form,filedAsOf,dateOfEvent,issuerName,issuerCik,issuerQkid,issuerTicker,filerName,filerCik,rule13d13g,namesOfRptPersons,isGrp,srcOfFunds,srcOfFundsDesc,placeOfOrg,soleVoting,sharedVoting,soleDispositoryPwr,sharedDispositoryPwr,aggAmtOwned,pctOfClass,personType,personTypeDesc
20190205161531,edgar/data/1336528/0001193125-19-028308.txt,SC 13D/A,20190205,20190203,Element Solutions Inc,1590714,0001590714.0000.004KDL523,ESI,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,N/A,,Delaware,0,0,0,0,13,0,IA,Investment Adviser
20190205161531,edgar/data/1336528/0001193125-19-028308.txt,SC 13D/A,20190205,20190203,Element Solutions Inc,1590714,0001590714.0000.004KDL523,ESI,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,N/A,,Delaware,0,0,0,0,13,0,OO,Other
20190205161531,edgar/data/1336528/0001193125-19-028308.txt,SC 13D/A,20190205,20190203,Element Solutions Inc,1590714,0001590714.0000.004KDL523,ESI,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,N/A,,UnitedStates,0,0,0,0,13,0,IN,Individual
20190214160036,edgar/data/1336528/0001193125-19-040725.txt,SC 13G/A,20190214,20181231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,b,Pershing Square Capital Management L.P.,n,,,DELAWARE,0,20069479,0,20069479,20069479,8,IA,Investment Adviser
20190214160036,edgar/data/1336528/0001193125-19-040725.txt,SC 13G/A,20190214,20181231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,b,PS Management GP LLC,n,,,DELAWARE,0,20069479,0,20069479,20069479,8,OO,Other
20190214160036,edgar/data/1336528/0001193125-19-040725.txt,SC 13G/A,20190214,20181231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,b,William A. Ackman,n,,,U.S.A.,3561548,20069479,3561548,20069479,3945425,9.2,IN,Individual
20190205161531,edgar/data/1336528/0001193125-19-028308.txt,SC 13D/A,20190205,20190203,Element Solutions Inc,1590714,0001590714.0000.004KDL523,ESI,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,N/A,,Delaware,0,0,0,0,13,0,IA,Investment Adviser
20190205161531,edgar/data/1336528/0001193125-19-028308.txt,SC 13D/A,20190205,20190203,Element Solutions Inc,1590714,0001590714.0000.004KDL523,ESI,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,N/A,,Delaware,0,0,0,0,13,0,OO,Other
20190205161531,edgar/data/1336528/0001193125-19-028308.txt,SC 13D/A,20190205,20190203,Element Solutions Inc,1590714,0001590714.0000.004KDL523,ESI,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,N/A,,UnitedStates,0,0,0,0,13,0,IN,Individual
20190214160036,edgar/data/1336528/0001193125-19-040725.txt,SC 13G/A,20190214,20181231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,b,Pershing Square Capital Management L.P.,n,,,DELAWARE,0,20069479,0,20069479,20069479,8,IA,Investment Adviser
20190214160036,edgar/data/1336528/0001193125-19-040725.txt,SC 13G/A,20190214,20181231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,b,PS Management GP LLC,n,,,DELAWARE,0,20069479,0,20069479,20069479,8,OO,Other
20190214160036,edgar/data/1336528/0001193125-19-040725.txt,SC 13G/A,20190214,20181231,Restaurant Brands International Inc.,1618756,0001618756.0000.0076WG2T4,QSR,Pershing Square Capital Management L.P.,1336528,b,William A. Ackman,n,,,U.S.A.,3561548,20069479,3561548,20069479,3945425,9.2,IN,Individual
20190628170502,edgar/data/1336528/0001193125-19-186188.txt,SC 13D/A,20190628,20190627,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,OO,Other,Delaware,0,1782710,0,1782710,1782710,6.4,IA,Investment Adviser
20190628170502,edgar/data/1336528/0001193125-19-186188.txt,SC 13D/A,20190628,20190627,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,OO,Other,Delaware,0,1782710,0,1782710,1782710,6.4,OO,Other
20190628170502,edgar/data/1336528/0001193125-19-186188.txt,SC 13D/A,20190628,20190627,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,William A. Ackman,n,OO,Other,United States,0,1782710,0,1782710,1782710,6.4,IN,Individual
20190628170502,edgar/data/1336528/0001193125-19-186188.txt,SC 13D/A,20190628,20190627,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,Pershing Square Capital Management L.P.,n,OO,Other,Delaware,0,1782710,0,1782710,1782710,6.4,IA,Investment Adviser
20190628170502,edgar/data/1336528/0001193125-19-186188.txt,SC 13D/A,20190628,20190627,CHIPOTLE MEXICAN GRILL INC,1058090,0001058090.0000.001SP50B3,CMG,Pershing Square Capital Management L.P.,1336528,N/A,PS Management GP LLC,n,OO,Other,Delaware,0,1782710,0,1782710,1782710,6.4,OO,Other
